dc1,Nx,Ny,c,f,dc2,ht,lg1,i,mathindex,N
6.5mm,5,4,1.0mm,200.0kHz,3.5mm,3.0mm,2.5mm,4.0A,copper_lizt_c_1,8447
12.5mm,1,2,4.5mm,200.0kHz,6.2mm,4.2mm,2.1mm,25.0A,copper_lizt_c_4.5,8448
11.0mm,1,4,1.5mm,100.0kHz,4.3mm,6.8mm,1.7mm,18.0A,copper_lizt_c_1.5,8449
14.5mm,3,1,3.0mm,300.0kHz,4.9mm,5.9mm,1.9mm,6.0A,copper_lizt_c_3,8450
11.5mm,3,2,1.5mm,300.0kHz,6.0mm,3.5mm,2.1mm,14.0A,copper_lizt_c_1.5,8451
9.5mm,4,1,1.5mm,100.0kHz,4.4mm,3.9mm,2.3mm,44.0A,copper_lizt_c_1.5,8452
6.5mm,3,3,2.0mm,100.0kHz,3.5mm,2.5mm,1.1mm,9.0A,copper_lizt_c_2,8453
13.5mm,3,6,1.0mm,400.0kHz,6.1mm,8.1mm,3.9mm,2.0A,copper_lizt_c_1,8454
5.5mm,2,5,1.5mm,400.0kHz,2.2mm,3.2mm,3.7mm,10.0A,copper_lizt_c_1.5,8455
18.0mm,6,5,1.0mm,100.0kHz,7.4mm,7.9mm,0.7mm,3.0A,copper_lizt_c_1,8456
7.0mm,6,3,1.0mm,300.0kHz,4.1mm,3.1mm,3.9mm,28.0A,copper_lizt_c_1,8457
12.5mm,4,3,2.0mm,100.0kHz,6.7mm,3.8mm,3.9mm,25.0A,copper_lizt_c_2,8458
11.0mm,4,1,1.5mm,400.0kHz,4.3mm,3.3mm,3.1mm,1.0A,copper_lizt_c_1.5,8459
13.0mm,1,1,4.0mm,400.0kHz,6.4mm,7.4mm,2.3mm,35.0A,copper_lizt_c_4,8460
10.5mm,4,5,1.0mm,100.0kHz,5.7mm,4.7mm,2.9mm,12.0A,copper_lizt_c_1,8461
16.5mm,3,1,2.5mm,300.0kHz,5.0mm,5.0mm,1.1mm,1.0A,copper_lizt_c_2.5,8462
11.5mm,1,1,2.5mm,300.0kHz,5.0mm,4.5mm,1.7mm,13.0A,copper_lizt_c_2.5,8463
15.5mm,3,1,3.0mm,200.0kHz,5.2mm,7.7mm,3.3mm,33.0A,copper_lizt_c_3,8464
11.0mm,1,6,1.5mm,300.0kHz,3.3mm,5.3mm,3.7mm,2.0A,copper_lizt_c_1.5,8465
13.5mm,2,1,1.5mm,200.0kHz,6.6mm,6.6mm,0.5mm,30.0A,copper_lizt_c_1.5,8466
12.5mm,4,1,1.5mm,200.0kHz,4.2mm,4.2mm,2.5mm,21.0A,copper_lizt_c_1.5,8467
11.0mm,2,1,2.0mm,300.0kHz,3.8mm,6.3mm,3.9mm,10.0A,copper_lizt_c_2,8468
17.5mm,3,2,2.0mm,100.0kHz,7.8mm,6.3mm,3.3mm,27.0A,copper_lizt_c_2,8469
18.5mm,1,2,2.0mm,300.0kHz,5.6mm,6.1mm,2.7mm,23.0A,copper_lizt_c_2,8470
5.5mm,1,1,3.5mm,300.0kHz,1.7mm,1.7mm,1.7mm,41.0A,copper_lizt_c_3.5,8471
15.0mm,1,4,1.0mm,400.0kHz,7.0mm,4.5mm,3.5mm,35.0A,copper_lizt_c_1,8472
14.0mm,1,2,4.0mm,300.0kHz,5.7mm,5.7mm,1.3mm,30.0A,copper_lizt_c_4,8473
13.0mm,2,2,1.5mm,300.0kHz,7.9mm,6.4mm,3.1mm,42.0A,copper_lizt_c_1.5,8474
11.0mm,4,3,1.0mm,200.0kHz,5.3mm,3.8mm,2.1mm,11.0A,copper_lizt_c_1,8475
11.5mm,9,9,1.0mm,100.0kHz,3.5mm,3.5mm,2.3mm,2.0A,copper_lizt_c_1,8476
14.0mm,1,5,1.5mm,300.0kHz,4.7mm,8.2mm,1.1mm,2.0A,copper_lizt_c_1.5,8477
6.5mm,5,9,1.0mm,100.0kHz,2.0mm,2.5mm,2.7mm,2.0A,copper_lizt_c_1,8478
13.0mm,3,2,3.0mm,400.0kHz,5.4mm,3.9mm,2.9mm,42.0A,copper_lizt_c_3,8479
19.0mm,6,1,1.5mm,400.0kHz,6.7mm,7.7mm,1.9mm,34.0A,copper_lizt_c_1.5,8480
8.5mm,1,1,4.5mm,300.0kHz,5.1mm,2.6mm,1.1mm,43.0A,copper_lizt_c_4.5,8481
12.0mm,1,2,4.5mm,200.0kHz,6.1mm,4.1mm,1.9mm,6.0A,copper_lizt_c_4.5,8482
8.0mm,1,2,1.0mm,100.0kHz,4.4mm,2.9mm,2.1mm,34.0A,copper_lizt_c_1,8483
13.5mm,1,1,1.0mm,100.0kHz,5.1mm,7.6mm,3.9mm,49.0A,copper_lizt_c_1,8484
11.5mm,2,2,4.0mm,100.0kHz,5.0mm,6.5mm,2.5mm,22.0A,copper_lizt_c_4,8485
8.5mm,6,2,1.0mm,400.0kHz,4.1mm,2.6mm,3.7mm,13.0A,copper_lizt_c_1,8486
13.5mm,1,2,1.5mm,400.0kHz,7.1mm,4.6mm,3.3mm,27.0A,copper_lizt_c_1.5,8487
10.0mm,4,4,2.0mm,100.0kHz,6.0mm,5.5mm,2.3mm,31.0A,copper_lizt_c_2,8488
18.5mm,6,3,1.0mm,300.0kHz,5.6mm,5.6mm,3.5mm,31.0A,copper_lizt_c_1,8489
13.5mm,1,3,2.5mm,300.0kHz,7.6mm,6.1mm,2.1mm,28.0A,copper_lizt_c_2.5,8490
5.5mm,3,1,2.0mm,200.0kHz,1.7mm,3.2mm,3.5mm,15.0A,copper_lizt_c_2,8491
10.5mm,3,1,2.0mm,200.0kHz,5.7mm,5.2mm,1.3mm,37.0A,copper_lizt_c_2,8492
12.5mm,2,2,2.0mm,400.0kHz,3.8mm,5.2mm,0.1mm,2.0A,copper_lizt_c_2,8493
5.5mm,3,2,3.0mm,200.0kHz,1.7mm,2.2mm,1.3mm,46.0A,copper_lizt_c_3,8494
11.5mm,3,2,2.0mm,300.0kHz,3.5mm,5.5mm,2.9mm,30.0A,copper_lizt_c_2,8495
11.5mm,1,5,1.5mm,300.0kHz,4.5mm,6.0mm,2.3mm,33.0A,copper_lizt_c_1.5,8496
14.5mm,3,1,1.0mm,200.0kHz,4.9mm,5.9mm,2.1mm,32.0A,copper_lizt_c_1,8497
18.5mm,1,4,2.0mm,300.0kHz,5.6mm,6.6mm,2.3mm,24.0A,copper_lizt_c_2,8498
12.0mm,5,2,1.5mm,400.0kHz,3.6mm,6.1mm,3.5mm,3.0A,copper_lizt_c_1.5,8499
8.5mm,2,9,1.0mm,100.0kHz,4.1mm,3.1mm,3.1mm,41.0A,copper_lizt_c_1,8500
13.0mm,1,1,3.0mm,400.0kHz,5.4mm,4.9mm,2.7mm,35.0A,copper_lizt_c_3,8501
14.0mm,1,1,2.0mm,200.0kHz,5.7mm,8.2mm,1.7mm,22.0A,copper_lizt_c_2,8502
13.5mm,1,2,4.5mm,400.0kHz,6.1mm,6.1mm,3.7mm,40.0A,copper_lizt_c_4.5,8503
19.5mm,2,5,1.0mm,100.0kHz,6.9mm,7.4mm,2.9mm,45.0A,copper_lizt_c_1,8504
7.5mm,5,1,1.0mm,200.0kHz,3.8mm,2.8mm,0.9mm,11.0A,copper_lizt_c_1,8505
13.5mm,3,3,1.0mm,100.0kHz,6.1mm,5.1mm,1.7mm,32.0A,copper_lizt_c_1,8506
13.0mm,1,7,1.0mm,200.0kHz,6.9mm,4.4mm,1.9mm,37.0A,copper_lizt_c_1,8507
7.0mm,4,1,1.5mm,400.0kHz,3.6mm,4.1mm,1.9mm,7.0A,copper_lizt_c_1.5,8508
12.5mm,2,1,4.0mm,300.0kHz,6.2mm,6.2mm,2.5mm,27.0A,copper_lizt_c_4,8509
12.0mm,5,5,1.0mm,100.0kHz,3.6mm,5.1mm,1.7mm,11.0A,copper_lizt_c_1,8510
14.5mm,1,1,2.5mm,300.0kHz,7.9mm,6.9mm,1.1mm,10.0A,copper_lizt_c_2.5,8511
8.0mm,2,3,1.0mm,300.0kHz,2.9mm,2.4mm,2.9mm,36.0A,copper_lizt_c_1,8512
5.5mm,4,2,1.0mm,300.0kHz,2.2mm,2.7mm,0.7mm,15.0A,copper_lizt_c_1,8513
19.5mm,7,6,1.0mm,300.0kHz,6.4mm,7.4mm,2.3mm,1.0A,copper_lizt_c_1,8514
11.0mm,2,3,2.0mm,100.0kHz,6.8mm,6.3mm,1.3mm,18.0A,copper_lizt_c_2,8515
16.5mm,1,1,2.0mm,400.0kHz,6.5mm,6.5mm,2.1mm,47.0A,copper_lizt_c_2,8516
15.0mm,3,3,3.0mm,300.0kHz,6.5mm,6.5mm,1.9mm,36.0A,copper_lizt_c_3,8517
11.5mm,1,2,4.5mm,200.0kHz,7.0mm,6.0mm,3.7mm,10.0A,copper_lizt_c_4.5,8518
9.5mm,2,2,4.5mm,400.0kHz,4.4mm,3.9mm,2.7mm,47.0A,copper_lizt_c_4.5,8519
18.0mm,2,1,2.5mm,400.0kHz,6.4mm,7.4mm,1.7mm,15.0A,copper_lizt_c_2.5,8520
13.5mm,6,7,1.0mm,400.0kHz,5.1mm,7.6mm,1.3mm,7.0A,copper_lizt_c_1,8521
9.0mm,1,1,4.5mm,300.0kHz,4.2mm,4.7mm,1.9mm,27.0A,copper_lizt_c_4.5,8522
9.5mm,2,3,1.5mm,200.0kHz,5.9mm,3.9mm,3.5mm,8.0A,copper_lizt_c_1.5,8523
7.0mm,1,2,2.5mm,400.0kHz,2.6mm,2.1mm,0.5mm,2.0A,copper_lizt_c_2.5,8524
14.5mm,3,1,2.5mm,100.0kHz,4.9mm,7.9mm,3.3mm,33.0A,copper_lizt_c_2.5,8525
5.0mm,4,5,1.0mm,100.0kHz,2.0mm,3.0mm,2.3mm,11.0A,copper_lizt_c_1,8526
6.0mm,1,2,4.5mm,300.0kHz,1.8mm,2.3mm,2.1mm,18.0A,copper_lizt_c_4.5,8527
7.0mm,3,6,1.5mm,300.0kHz,4.1mm,3.1mm,3.3mm,4.0A,copper_lizt_c_1.5,8528
13.5mm,2,1,1.0mm,100.0kHz,7.6mm,4.6mm,1.3mm,4.0A,copper_lizt_c_1,8529
11.5mm,3,1,3.0mm,200.0kHz,6.0mm,5.0mm,1.5mm,21.0A,copper_lizt_c_3,8530
16.5mm,6,3,1.5mm,200.0kHz,5.5mm,8.0mm,3.5mm,21.0A,copper_lizt_c_1.5,8531
14.5mm,2,3,1.5mm,200.0kHz,5.4mm,4.4mm,1.9mm,9.0A,copper_lizt_c_1.5,8532
15.0mm,2,9,1.0mm,200.0kHz,8.0mm,8.0mm,2.7mm,26.0A,copper_lizt_c_1,8533
15.5mm,5,3,1.5mm,300.0kHz,7.7mm,5.7mm,1.5mm,17.0A,copper_lizt_c_1.5,8534
9.5mm,6,4,1.0mm,400.0kHz,5.4mm,4.9mm,1.7mm,8.0A,copper_lizt_c_1,8535
7.5mm,2,6,1.5mm,100.0kHz,3.3mm,4.2mm,1.7mm,1.0A,copper_lizt_c_1.5,8536
14.0mm,2,3,1.5mm,100.0kHz,6.2mm,7.7mm,0.7mm,5.0A,copper_lizt_c_1.5,8537
9.5mm,7,1,1.0mm,300.0kHz,3.9mm,3.4mm,3.1mm,18.0A,copper_lizt_c_1,8538
18.5mm,6,9,1.0mm,200.0kHz,7.1mm,8.1mm,3.9mm,12.0A,copper_lizt_c_1,8539
9.5mm,4,1,1.5mm,200.0kHz,5.4mm,3.9mm,2.7mm,1.0A,copper_lizt_c_1.5,8540
18.0mm,2,5,1.0mm,400.0kHz,5.4mm,7.9mm,2.3mm,49.0A,copper_lizt_c_1,8541
12.5mm,1,5,1.0mm,100.0kHz,4.8mm,5.7mm,2.9mm,43.0A,copper_lizt_c_1,8542
13.0mm,1,2,2.0mm,400.0kHz,7.9mm,7.4mm,0.3mm,17.0A,copper_lizt_c_2,8543
11.5mm,1,2,3.5mm,400.0kHz,6.5mm,6.0mm,1.7mm,26.0A,copper_lizt_c_3.5,8544
13.0mm,8,1,1.0mm,200.0kHz,4.4mm,4.4mm,2.3mm,10.0A,copper_lizt_c_1,8545
14.0mm,2,2,2.5mm,300.0kHz,5.2mm,6.7mm,2.7mm,5.0A,copper_lizt_c_2.5,8546
7.5mm,3,2,1.0mm,200.0kHz,3.8mm,2.8mm,1.3mm,12.0A,copper_lizt_c_1,8547
8.0mm,1,2,2.0mm,200.0kHz,2.4mm,4.9mm,2.9mm,19.0A,copper_lizt_c_2,8548
18.5mm,1,2,3.5mm,100.0kHz,7.1mm,7.6mm,1.1mm,25.0A,copper_lizt_c_3.5,8549
13.5mm,3,7,1.0mm,100.0kHz,8.1mm,6.1mm,3.9mm,1.0A,copper_lizt_c_1,8550
13.5mm,2,2,4.5mm,200.0kHz,4.1mm,7.1mm,2.3mm,10.0A,copper_lizt_c_4.5,8551
10.5mm,2,6,1.0mm,200.0kHz,3.7mm,4.7mm,3.1mm,46.0A,copper_lizt_c_1,8552
13.0mm,9,3,1.0mm,100.0kHz,3.9mm,5.9mm,3.7mm,32.0A,copper_lizt_c_1,8553
13.0mm,2,3,2.0mm,400.0kHz,6.9mm,7.4mm,1.7mm,14.0A,copper_lizt_c_2,8554
13.5mm,3,3,2.5mm,100.0kHz,6.6mm,6.6mm,3.7mm,36.0A,copper_lizt_c_2.5,8555
14.5mm,5,5,1.0mm,200.0kHz,4.9mm,5.9mm,3.7mm,11.0A,copper_lizt_c_1,8556
13.5mm,4,1,1.0mm,400.0kHz,4.6mm,5.6mm,0.5mm,13.0A,copper_lizt_c_1,8557
13.5mm,2,5,1.0mm,300.0kHz,7.6mm,5.1mm,0.7mm,9.0A,copper_lizt_c_1,8558
12.0mm,4,2,1.0mm,400.0kHz,4.1mm,5.1mm,1.1mm,29.0A,copper_lizt_c_1,8559
18.0mm,1,2,3.0mm,100.0kHz,5.4mm,7.4mm,2.1mm,2.0A,copper_lizt_c_3,8560
15.5mm,1,3,3.0mm,100.0kHz,6.2mm,5.2mm,3.1mm,23.0A,copper_lizt_c_3,8561
10.0mm,1,6,1.0mm,400.0kHz,6.0mm,5.5mm,1.3mm,30.0A,copper_lizt_c_1,8562
15.5mm,1,2,4.0mm,300.0kHz,8.2mm,6.2mm,0.3mm,5.0A,copper_lizt_c_4,8563
19.5mm,1,4,1.0mm,100.0kHz,6.9mm,5.9mm,2.3mm,39.0A,copper_lizt_c_1,8564
9.5mm,2,3,2.0mm,300.0kHz,3.4mm,2.9mm,3.1mm,26.0A,copper_lizt_c_2,8565
13.5mm,1,1,2.5mm,400.0kHz,6.6mm,6.6mm,0.3mm,5.0A,copper_lizt_c_2.5,8566
15.0mm,3,3,2.0mm,300.0kHz,7.5mm,4.5mm,3.9mm,48.0A,copper_lizt_c_2,8567
13.5mm,3,5,1.5mm,100.0kHz,7.1mm,4.6mm,3.9mm,36.0A,copper_lizt_c_1.5,8568
10.5mm,3,4,1.5mm,400.0kHz,3.2mm,5.2mm,1.1mm,6.0A,copper_lizt_c_1.5,8569
16.0mm,1,2,1.0mm,200.0kHz,4.8mm,6.3mm,2.9mm,34.0A,copper_lizt_c_1,8570
15.5mm,2,1,1.0mm,400.0kHz,6.7mm,6.2mm,3.7mm,41.0A,copper_lizt_c_1,8571
16.5mm,2,7,1.0mm,400.0kHz,5.5mm,8.0mm,3.7mm,23.0A,copper_lizt_c_1,8572
9.5mm,1,2,4.0mm,100.0kHz,5.4mm,3.9mm,3.9mm,19.0A,copper_lizt_c_4,8573
18.5mm,3,2,3.0mm,400.0kHz,5.6mm,5.6mm,3.7mm,15.0A,copper_lizt_c_3,8574
6.5mm,1,4,1.5mm,400.0kHz,4.0mm,4.0mm,3.1mm,8.0A,copper_lizt_c_1.5,8575
14.0mm,3,6,1.5mm,100.0kHz,6.7mm,7.2mm,3.1mm,20.0A,copper_lizt_c_1.5,8576
7.5mm,1,4,1.0mm,100.0kHz,4.8mm,4.2mm,0.9mm,43.0A,copper_lizt_c_1,8577
8.5mm,2,1,3.0mm,100.0kHz,3.1mm,2.6mm,2.1mm,25.0A,copper_lizt_c_3,8578
14.0mm,3,3,1.0mm,300.0kHz,4.2mm,8.2mm,1.5mm,15.0A,copper_lizt_c_1,8579
19.0mm,5,5,1.5mm,200.0kHz,6.7mm,6.2mm,3.9mm,30.0A,copper_lizt_c_1.5,8580
12.0mm,6,2,1.0mm,400.0kHz,6.1mm,4.1mm,2.7mm,45.0A,copper_lizt_c_1,8581
9.0mm,2,6,1.5mm,400.0kHz,3.2mm,5.2mm,1.7mm,30.0A,copper_lizt_c_1.5,8582
13.5mm,2,1,4.5mm,100.0kHz,8.1mm,4.1mm,0.5mm,30.0A,copper_lizt_c_4.5,8583
14.5mm,1,2,1.5mm,200.0kHz,7.9mm,4.4mm,0.7mm,4.0A,copper_lizt_c_1.5,8584
11.5mm,3,2,1.5mm,300.0kHz,3.5mm,5.5mm,1.7mm,16.0A,copper_lizt_c_1.5,8585
10.5mm,2,3,1.0mm,400.0kHz,6.2mm,3.2mm,0.9mm,23.0A,copper_lizt_c_1,8586
15.5mm,2,2,3.0mm,300.0kHz,8.2mm,7.7mm,1.9mm,21.0A,copper_lizt_c_3,8587
6.0mm,1,1,1.5mm,400.0kHz,2.8mm,2.3mm,1.3mm,5.0A,copper_lizt_c_1.5,8588
11.5mm,2,1,3.5mm,400.0kHz,4.5mm,3.5mm,2.1mm,15.0A,copper_lizt_c_3.5,8589
15.5mm,4,2,1.5mm,400.0kHz,7.7mm,8.2mm,3.1mm,16.0A,copper_lizt_c_1.5,8590
11.5mm,3,8,1.0mm,300.0kHz,6.5mm,5.5mm,0.9mm,6.0A,copper_lizt_c_1,8591
18.5mm,2,5,1.0mm,100.0kHz,6.6mm,6.6mm,3.5mm,18.0A,copper_lizt_c_1,8592
5.0mm,5,3,1.5mm,100.0kHz,2.5mm,3.0mm,3.5mm,7.0A,copper_lizt_c_1.5,8593
15.5mm,2,2,2.0mm,300.0kHz,8.2mm,5.7mm,2.7mm,43.0A,copper_lizt_c_2,8594
9.0mm,4,1,2.0mm,300.0kHz,4.2mm,2.7mm,0.9mm,3.0A,copper_lizt_c_2,8595
10.5mm,6,2,1.5mm,100.0kHz,3.7mm,4.7mm,3.9mm,31.0A,copper_lizt_c_1.5,8596
17.0mm,3,1,2.0mm,400.0kHz,7.1mm,7.6mm,2.5mm,17.0A,copper_lizt_c_2,8597
17.0mm,2,2,4.5mm,300.0kHz,6.1mm,6.6mm,0.7mm,24.0A,copper_lizt_c_4.5,8598
16.0mm,3,4,2.0mm,200.0kHz,7.8mm,6.8mm,1.3mm,2.0A,copper_lizt_c_2,8599
15.5mm,4,5,1.0mm,400.0kHz,5.2mm,4.7mm,3.1mm,6.0A,copper_lizt_c_1,8600
14.5mm,2,3,2.0mm,200.0kHz,5.4mm,4.4mm,1.1mm,15.0A,copper_lizt_c_2,8601
8.5mm,8,4,1.0mm,400.0kHz,2.6mm,4.1mm,3.3mm,8.0A,copper_lizt_c_1,8602
14.5mm,3,4,2.0mm,200.0kHz,5.9mm,5.4mm,3.9mm,32.0A,copper_lizt_c_2,8603
17.5mm,8,3,1.0mm,100.0kHz,7.8mm,6.8mm,3.1mm,10.0A,copper_lizt_c_1,8604
15.5mm,3,4,1.5mm,300.0kHz,4.7mm,6.7mm,3.7mm,3.0A,copper_lizt_c_1.5,8605
11.5mm,5,3,1.5mm,300.0kHz,4.5mm,4.0mm,1.3mm,10.0A,copper_lizt_c_1.5,8606
8.5mm,2,1,1.0mm,400.0kHz,4.1mm,5.1mm,2.9mm,47.0A,copper_lizt_c_1,8607
11.0mm,5,3,1.0mm,200.0kHz,4.3mm,5.3mm,1.1mm,1.0A,copper_lizt_c_1,8608
8.5mm,2,2,3.5mm,300.0kHz,5.1mm,2.6mm,0.9mm,25.0A,copper_lizt_c_3.5,8609
13.5mm,2,3,1.5mm,100.0kHz,8.1mm,4.1mm,2.1mm,31.0A,copper_lizt_c_1.5,8610
11.5mm,3,1,1.5mm,100.0kHz,6.0mm,7.0mm,3.1mm,4.0A,copper_lizt_c_1.5,8611
13.5mm,3,6,1.5mm,200.0kHz,7.6mm,7.1mm,3.9mm,33.0A,copper_lizt_c_1.5,8612
15.0mm,3,2,1.5mm,100.0kHz,8.0mm,4.5mm,0.7mm,22.0A,copper_lizt_c_1.5,8613
15.5mm,5,4,1.0mm,300.0kHz,5.7mm,7.2mm,3.3mm,12.0A,copper_lizt_c_1,8614
9.0mm,3,3,1.5mm,300.0kHz,3.2mm,3.2mm,3.7mm,35.0A,copper_lizt_c_1.5,8615
7.0mm,3,2,2.0mm,100.0kHz,2.1mm,3.6mm,2.3mm,11.0A,copper_lizt_c_2,8616
12.0mm,2,2,2.5mm,200.0kHz,5.1mm,5.6mm,2.3mm,8.0A,copper_lizt_c_2.5,8617
12.0mm,1,4,2.0mm,300.0kHz,7.1mm,4.1mm,0.5mm,28.0A,copper_lizt_c_2,8618
9.0mm,8,1,1.0mm,100.0kHz,3.2mm,5.2mm,3.1mm,34.0A,copper_lizt_c_1,8619
7.5mm,7,3,1.0mm,300.0kHz,2.3mm,4.8mm,3.9mm,26.0A,copper_lizt_c_1,8620
10.5mm,6,1,1.5mm,300.0kHz,6.2mm,3.7mm,1.3mm,12.0A,copper_lizt_c_1.5,8621
13.5mm,3,3,1.0mm,200.0kHz,8.1mm,7.6mm,2.9mm,10.0A,copper_lizt_c_1,8622
8.5mm,6,2,1.0mm,100.0kHz,5.1mm,2.6mm,2.1mm,28.0A,copper_lizt_c_1,8623
14.0mm,2,1,4.0mm,300.0kHz,4.2mm,7.7mm,0.9mm,38.0A,copper_lizt_c_4,8624
16.5mm,5,1,1.5mm,400.0kHz,7.5mm,5.5mm,1.1mm,33.0A,copper_lizt_c_1.5,8625
13.5mm,5,6,1.0mm,200.0kHz,5.1mm,4.1mm,3.9mm,1.0A,copper_lizt_c_1,8626
13.5mm,3,9,1.0mm,100.0kHz,4.6mm,5.6mm,2.5mm,22.0A,copper_lizt_c_1,8627
15.5mm,1,2,3.5mm,100.0kHz,6.7mm,7.7mm,0.5mm,9.0A,copper_lizt_c_3.5,8628
16.5mm,2,2,4.0mm,100.0kHz,7.0mm,6.0mm,1.5mm,17.0A,copper_lizt_c_4,8629
10.0mm,2,5,1.5mm,300.0kHz,3.5mm,4.0mm,2.9mm,24.0A,copper_lizt_c_1.5,8630
17.0mm,2,1,3.0mm,100.0kHz,5.6mm,7.1mm,1.9mm,3.0A,copper_lizt_c_3,8631
11.0mm,5,3,1.0mm,400.0kHz,6.8mm,5.8mm,2.5mm,10.0A,copper_lizt_c_1,8632
16.0mm,2,4,1.0mm,100.0kHz,7.3mm,5.8mm,0.1mm,1.0A,copper_lizt_c_1,8633
11.5mm,2,6,1.5mm,100.0kHz,6.0mm,3.5mm,0.7mm,13.0A,copper_lizt_c_1.5,8634
13.5mm,5,3,1.0mm,200.0kHz,7.6mm,5.6mm,0.3mm,3.0A,copper_lizt_c_1,8635
11.0mm,3,1,2.5mm,200.0kHz,4.3mm,4.3mm,1.9mm,15.0A,copper_lizt_c_2.5,8636
14.0mm,5,4,1.5mm,200.0kHz,6.2mm,6.2mm,2.9mm,28.0A,copper_lizt_c_1.5,8637
12.5mm,6,1,1.5mm,400.0kHz,5.2mm,5.7mm,3.5mm,19.0A,copper_lizt_c_1.5,8638
14.0mm,1,1,2.5mm,300.0kHz,6.2mm,7.2mm,0.9mm,36.0A,copper_lizt_c_2.5,8639
15.5mm,5,4,1.0mm,400.0kHz,8.2mm,4.7mm,2.5mm,5.0A,copper_lizt_c_1,8640
16.0mm,3,9,1.0mm,100.0kHz,7.8mm,5.3mm,2.9mm,1.0A,copper_lizt_c_1,8641
15.5mm,5,4,1.5mm,300.0kHz,7.2mm,6.2mm,0.7mm,1.0A,copper_lizt_c_1.5,8642
19.0mm,6,4,1.5mm,100.0kHz,7.2mm,7.7mm,1.7mm,12.0A,copper_lizt_c_1.5,8643
13.0mm,1,2,3.0mm,100.0kHz,6.4mm,7.9mm,0.5mm,11.0A,copper_lizt_c_3,8644
13.5mm,8,4,1.0mm,200.0kHz,4.6mm,6.1mm,2.1mm,11.0A,copper_lizt_c_1,8645
6.5mm,2,1,3.5mm,100.0kHz,2.5mm,4.0mm,1.9mm,2.0A,copper_lizt_c_3.5,8646
14.5mm,2,3,1.0mm,400.0kHz,5.4mm,4.4mm,1.5mm,30.0A,copper_lizt_c_1,8647
17.0mm,5,7,1.0mm,100.0kHz,8.1mm,7.1mm,2.1mm,11.0A,copper_lizt_c_1,8648
9.0mm,3,2,2.5mm,200.0kHz,3.7mm,3.2mm,3.7mm,47.0A,copper_lizt_c_2.5,8649
9.5mm,6,4,1.5mm,300.0kHz,3.9mm,3.9mm,2.3mm,15.0A,copper_lizt_c_1.5,8650
15.0mm,3,1,3.0mm,400.0kHz,7.0mm,6.0mm,3.3mm,41.0A,copper_lizt_c_3,8651
13.5mm,1,1,4.0mm,200.0kHz,4.1mm,4.1mm,1.3mm,22.0A,copper_lizt_c_4,8652
12.5mm,3,4,2.0mm,200.0kHz,5.7mm,5.7mm,2.7mm,18.0A,copper_lizt_c_2,8653
12.5mm,4,3,1.5mm,300.0kHz,5.7mm,5.7mm,2.3mm,41.0A,copper_lizt_c_1.5,8654
14.5mm,6,4,1.0mm,200.0kHz,5.9mm,6.9mm,3.5mm,28.0A,copper_lizt_c_1,8655
18.0mm,2,2,1.0mm,100.0kHz,7.4mm,7.4mm,0.1mm,1.0A,copper_lizt_c_1,8656
16.0mm,4,3,1.0mm,400.0kHz,6.3mm,7.8mm,2.5mm,47.0A,copper_lizt_c_1,8657
6.0mm,4,6,1.0mm,400.0kHz,2.3mm,3.3mm,2.7mm,26.0A,copper_lizt_c_1,8658
13.0mm,1,2,4.5mm,300.0kHz,7.9mm,7.4mm,0.9mm,25.0A,copper_lizt_c_4.5,8659
11.5mm,8,4,1.0mm,400.0kHz,5.0mm,4.5mm,2.9mm,15.0A,copper_lizt_c_1,8660
15.5mm,4,2,1.5mm,200.0kHz,7.7mm,7.2mm,2.3mm,21.0A,copper_lizt_c_1.5,8661
15.0mm,9,2,1.0mm,300.0kHz,7.0mm,6.5mm,1.3mm,8.0A,copper_lizt_c_1,8662
12.0mm,1,6,1.5mm,300.0kHz,4.6mm,4.6mm,1.1mm,9.0A,copper_lizt_c_1.5,8663
10.5mm,1,2,1.0mm,100.0kHz,3.2mm,4.7mm,3.3mm,38.0A,copper_lizt_c_1,8664
11.5mm,1,2,1.5mm,400.0kHz,6.0mm,6.5mm,2.9mm,15.0A,copper_lizt_c_1.5,8665
18.5mm,2,5,1.5mm,100.0kHz,8.1mm,6.1mm,1.1mm,22.0A,copper_lizt_c_1.5,8666
8.0mm,3,2,2.0mm,100.0kHz,2.4mm,3.4mm,2.7mm,27.0A,copper_lizt_c_2,8667
14.0mm,2,1,2.0mm,300.0kHz,4.7mm,8.2mm,0.5mm,27.0A,copper_lizt_c_2,8668
14.0mm,2,1,3.0mm,100.0kHz,5.2mm,4.7mm,1.5mm,18.0A,copper_lizt_c_3,8669
11.0mm,2,6,1.0mm,300.0kHz,3.8mm,3.8mm,3.5mm,40.0A,copper_lizt_c_1,8670
19.0mm,1,7,1.0mm,400.0kHz,8.2mm,6.2mm,0.9mm,22.0A,copper_lizt_c_1,8671
14.5mm,2,3,2.0mm,400.0kHz,5.9mm,5.4mm,2.5mm,47.0A,copper_lizt_c_2,8672
9.0mm,2,1,4.0mm,400.0kHz,4.2mm,2.7mm,3.1mm,19.0A,copper_lizt_c_4,8673
14.5mm,1,5,1.0mm,100.0kHz,4.4mm,4.9mm,1.9mm,39.0A,copper_lizt_c_1,8674
12.0mm,3,3,2.0mm,400.0kHz,7.1mm,7.1mm,2.7mm,24.0A,copper_lizt_c_2,8675
